hash,type,name
2f41deccdd998e767fe4559e8df22a02,import,check_time_data_format
d6ac7dee044b722d47725e45131bc9ac,import,collect_analyses
ccbb2dae14d7e0afd3cf26ea2f894846,import,collect_lda_result_summary
f900e1899e996fbd759a4e56347bf475,import,collect_lda_ts_results
47dc42619b091dc993ad3f3758961a00,import,collect_ts_result_summary
3b08da46ad3bcbdddc15f86fd7666d15,import,extract_lda_variable
368df389ee2bd0a4ba683e0d4fe9e4b9,import,extract_ts_variable
998587909aff178b49076e77a8cf5ebc,import,get_default_data_path
698f8b3c5d1deed4acfad6ff53458d08,import,get_jornada_data
757150ea71d0a573fe385328dec1157f,import,get_sdl_data
7b1428d0ad23c745de39af0ebacfc8ee,import,import_retriever_data
70ce3c4502c27e07a984d054fc02d5a6,target,jornada_data
a74d35f6ec4b7523d8310dc4a183398c,target,lda_jornada_data
47cde50f4a6a2e426857713eed7f3248,target,lda_report
170a3ca4eb58cc6f1e9796dfae9dff4c,target,lda_result_summary
abba8c0c204894126f19f556f39d8187,target,lda_results
a43f074203163549109e513a1e26d1dd,target,lda_sdl_data
ca8cc6e08c9d3c244dd23ce60537eb3d,target,lda_ts_result_summary
2618ff6e9241aebe786c4b0d2405fe73,import,LDATS::LDA_controls_list
ba8e0d13053de7e439e4d99090e419e0,import,LDATS::LDA_set
d96e859b0ccbbbb134fb06f83815a06c,import,LDATS::TS_controls_list
8d741cc665774c9fe7fa6225ebf5fa4e,import,LDATS::TS_on_LDA
f81cf2ceb63305eb6b4bd93d3d7e2c29,import,LDATS::document_weights
c54fd3144151955c6281e5683ece5290,import,LDATS::select_LDA
6d55e0fec6f0923d9a667c7823e8c30d,import,LDATS::select_TS
069ee7f85431f25e0b1944f192690e30,import,MATSS::check_data_format
402cef37c0d40584f69e4c2923e4c902,import,dplyr::mutate
15939b6507634e8a2f2129242efc73a3,import,dplyr::filter
7b514af2c9d22fc3729f67b28644fca3,import,dplyr::group_by
bbb099399a6835dc843feffd12cd6aa5,import,dplyr::left_join
0d056cad6b8918af4d71e87e40a7c2a2,import,dplyr::rename
eb1a4d6d8434bc6193dbdc200eb5582e,import,dplyr::summarize
eb1a4d6d8434bc6193dbdc200eb5582e,import,dplyr::summarise
56b165a5c33e054ae146a29b0153229f,import,dplyr::select
029a52fdcf597e61c62942298f0e826e,import,dplyr::ungroup
e04936f4d02c3bd54559c589273f67a6,import,portalr::get_default_data_path
ef2e034fe4148108880482d84b54c1d3,import,rmarkdown::render
5c574b4246864c7d85edf64971e3fe38,import,stats::setNames
653b5f9b1f9891532c8685add5022e8a,import,stringr::str_split
560db1575104c988668b329d8c8c26c9,import,tidyr::spread
66a82039397cf919b6001b7910fdec3b,import,utils::read.csv
f7345151e594b93678343629100d73a6,import,file analysis/reports/lda_report.Rmd
47db75e395cab8f2121029f46607c4d1,import,file analysis/reports/ts_report.Rmd
ddf3d19ea813de54626fadfa9020e2d9,import,run_LDA
75a6435269d628e1ebdbfa04d39020ca,import,run_TS
e61d747927ec25c842fec29da07f0132,target,sdl_data
bd3f09ea7587abd833a1fb24b4ac8d62,target,ts_jornada_data_lda_jornada_data
931bce40faffde8ea3e3489832521148,target,ts_report
ff843e05c8da1425b2fd68ae48101a22,target,ts_result_summary
08f01fcd0bb1c37b7469773749af591a,target,ts_results
8f3874c129931c10257d837160200759,target,ts_sdl_data_lda_sdl_data
4e371321bb5594e54acdd812b1c2354b,target,ts_select_results
0d47e17872af006df2b1841b137646b3,target,ts_select_ts_jornada_data_lda_jornada_data
b68c4d64527fa25e266ece70d96428cb,target,ts_select_ts_sdl_data_lda_sdl_data
